"","date","ANZSOC.Group","Area.Unit","Meshblock","Territorial.Authority","Alert.Level"
"939","1/04/2017","Common Assault","North Beach.",2565800,"Christchurch City.",3
"940","1/04/2017","Aggravated Sexual Assault","Papakura East.",799133,"Auckland.",3
"941","1/04/2017","Aggravated Sexual Assault","Adelaide.",2148700,"Wellington City.",3
"942","1/04/2017","Aggravated Sexual Assault","Island Bay East.",2192700,"Wellington City.",3
"943","1/04/2017","Aggravated Sexual Assault","Riverton West.",3190100,"Southland District.",3
"944","1/04/2017","Aggravated Sexual Assault","Stuart St-Frederick St.",2901200,"Dunedin City.",3
"945","1/04/2017","Aggravated Sexual Assault","Upper Hutt Central.",1906200,"Upper Hutt City.",3
"946","1/04/2017","Aggravated Sexual Assault","999999",-267,"Wellington City.",3
"947","1/04/2017","Aggravated Sexual Assault","Tauhara.",1270200,"Taupo District.",3
"948","1/04/2017","Aggravated Sexual Assault","Avondale West.",390000,"Auckland.",3
"949","1/04/2017","Aggravated Sexual Assault","Te Rapa.",908000,"Hamilton City.",3
"950","1/04/2017","Aggravated Sexual Assault","Takanini North.",768100,"Auckland.",3
"951","1/04/2017","Aggravated Sexual Assault","Kuirau.",1232900,"Rotorua District.",3
"952","1/04/2017","Aggravated Sexual Assault","999999",-36,"Auckland.",3
"953","1/04/2017","Aggravated Sexual Assault","999999",-332,"Christchurch City.",3
"954","1/04/2017","Aggravated Sexual Assault","Kingsley-Chatham.",1473803,"Hastings District.",3
"955","1/04/2017","Aggravated Sexual Assault","999999",-310,"Marlborough District.",3
"956","1/04/2017","Aggravated Sexual Assault","Papakowhai South.",2056624,"Porirua City.",3
"957","1/04/2017","Aggravated Sexual Assault","Oamaru Central.",2840800,"Waitaki District.",3
"958","1/04/2017","Aggravated Sexual Assault","Foxton.",1781500,"Horowhenua District.",3
"959","1/04/2018","Common Assault","Auckland Central East.",437600,"Auckland.",3
"960","1/04/2018","Common Assault","Highbrook.",711600,"Auckland.",3
"961","1/04/2018","Common Assault","Greymouth Central.",2406800,"Grey District.",3
"962","1/04/2018","Common Assault","Kaitaia East.",14200,"Far North District.",3
"963","1/04/2018","Common Assault","Palmerston North Central.",1829500,"Palmerston North City.",3
"964","1/04/2018","Common Assault","Bethlehem.",1191202,"Tauranga City.",3
"965","1/04/2018","Common Assault","Oxford.",2458100,"Waimakariri District.",3
"966","1/04/2018","Common Assault","Levin North.",1865000,"Horowhenua District.",3
"967","1/04/2018","Common Assault","Whitikahu.",953900,"Waikato District.",3
"968","1/04/2018","Common Assault","Petone Central.",2034000,"Lower Hutt City.",3
"969","1/04/2018","Common Assault","Kaikoura Rural.",2315000,"Kaikoura District.",3
"970","1/04/2018","Common Assault","Puhinui South.",673600,"Auckland.",3
"971","1/04/2018","Common Assault","Morrinsville East.",1089100,"Matamata-Piako District.",3
"972","1/04/2018","Common Assault","Blenheim Central.",2299800,"Marlborough District.",3
"973","1/04/2018","Common Assault","Thorndon-Tinakori Road.",2121200,"Wellington City.",3
"974","1/04/2018","Common Assault","999999",-65,"Auckland.",3
"975","1/04/2018","Common Assault","Dargaville.",116400,"Kaipara District.",3
"976","1/04/2018","Common Assault","Lynnmall.",266000,"Auckland.",3
"977","1/04/2018","Common Assault","Newton.",412200,"Auckland.",3
"978","1/04/2018","Common Assault","Tauranga Central.",1163600,"Tauranga City.",3
"979","1/04/2018","Common Assault","Auckland Harbourside.",433001,"Auckland.",3
"980","1/04/2018","Common Assault","Trafalgar.",2319800,"Nelson City.",3
"981","1/04/2018","Common Assault","Waverley.",1663800,"South Taranaki District.",3
"982","1/04/2018","Common Assault","Greerton.",1177400,"Tauranga City.",3
"983","1/04/2018","Common Assault","Blueskin.",1682000,"Wanganui District.",3
"984","1/04/2018","Common Assault","Elsdon-Takapuwahia.",2037500,"Porirua City.",3
