"","X","ANZSOC.Group","Alert.Level","date","Area.Unit","Meshblock","Territorial.Authority","District","Calls.for.Service.and.Prevention","Crime.and.NonCrime.Demand","Event.Category","No"
"3280",2989,"Aggravated Sexual Assault",3,"1/04/2019","999999",-413,"Southland District.",NA,NA,NA,NA,NA
"3281",2990,"Aggravated Sexual Assault",3,"1/04/2019","Kowhai Park.",1693800,"Wanganui District.",NA,NA,NA,NA,NA
"3282",2991,"Aggravated Sexual Assault",3,"1/04/2019","Avonhead West.",2532200,"Christchurch City.",NA,NA,NA,NA,NA
"3283",2992,"Aggravated Sexual Assault",3,"1/04/2019","Avonhead West.",2532200,"Christchurch City.",NA,NA,NA,NA,NA
"3284",2993,"Aggravated Sexual Assault",3,"1/04/2019","Witherlea.",2305600,"Marlborough District.",NA,NA,NA,NA,NA
"3285",2994,"Common Assault",2,"1/05/2019","Lyttelton.",2707700,"Christchurch City.",NA,NA,NA,NA,NA
"3286",2995,"Common Assault",2,"1/05/2019","Queenstown Hill.",3033800,"Queenstown-Lakes District.",NA,NA,NA,NA,NA
"3287",2996,"Common Assault",2,"1/05/2019","Pukete West.",907402,"Hamilton City.",NA,NA,NA,NA,NA
"3288",2997,"Common Assault",2,"1/05/2019","Puhinui North.",671200,"Auckland.",NA,NA,NA,NA,NA
"3289",2998,"Common Assault",2,"1/05/2019","Auckland Central West.",432604,"Auckland.",NA,NA,NA,NA,NA
"3290",2999,"Common Assault",2,"1/05/2019","Howick Central.",647704,"Auckland.",NA,NA,NA,NA,NA
"3291",3000,"Common Assault",2,"1/05/2019","Auckland Central East.",437701,"Auckland.",NA,NA,NA,NA,NA
"3292",3001,"Common Assault",2,"1/05/2019","Sockburn.",2480000,"Christchurch City.",NA,NA,NA,NA,NA
"3293",3002,"Common Assault",2,"1/05/2019","Springfield.",1245902,"Rotorua District.",NA,NA,NA,NA,NA
"3294",3003,"Common Assault",2,"1/05/2019","Porirua Central.",2052500,"Porirua City.",NA,NA,NA,NA,NA
"3295",3004,"Common Assault",2,"1/05/2019","Melville.",928200,"Hamilton City.",NA,NA,NA,NA,NA
"3296",3005,"Common Assault",2,"1/05/2019","Clinton.",3001300,"Clutha District.",NA,NA,NA,NA,NA
"3297",3006,"Common Assault",2,"1/05/2019","Morningside.",105300,"Whangarei District.",NA,NA,NA,NA,NA
"3298",3007,"Common Assault",2,"1/05/2019","Maungaru.",120900,"Kaipara District.",NA,NA,NA,NA,NA
"3299",3008,"Common Assault",2,"1/05/2019","Glenbrook.",832800,"Auckland.",NA,NA,NA,NA,NA
"3300",3009,"Common Assault",2,"1/05/2019","Island Bay West.",2193802,"Wellington City.",NA,NA,NA,NA,NA
"3301",3010,"Common Assault",2,"1/05/2019","Te Awamutu Central.",973200,"Waipa District.",NA,NA,NA,NA,NA
"3302",3011,"Common Assault",2,"1/05/2019","Richmond.",3137300,"Invercargill City.",NA,NA,NA,NA,NA
"3303",3012,"Common Assault",2,"1/05/2019","Katikati Community.",1182800,"Western Bay of Plenty District.",NA,NA,NA,NA,NA
"3304",3013,"Common Assault",2,"1/05/2019","Crum Park.",293001,"Auckland.",NA,NA,NA,NA,NA
"3305",3014,"Common Assault",2,"1/05/2019","Queenstown Hill.",3033700,"Queenstown-Lakes District.",NA,NA,NA,NA,NA
"3306",3015,"Common Assault",2,"1/05/2019","Queenstown Hill.",3033700,"Queenstown-Lakes District.",NA,NA,NA,NA,NA
"3307",3016,"Common Assault",2,"1/05/2019","Stuart St-Frederick St.",2903000,"Dunedin City.",NA,NA,NA,NA,NA
"3308",3017,"Common Assault",2,"1/05/2019","Feilding West.",1765600,"Manawatu District.",NA,NA,NA,NA,NA
"3309",3018,"Common Assault",2,"1/05/2019","Masterton Central.",2243700,"Masterton District.",NA,NA,NA,NA,NA
"3310",3019,"Common Assault",2,"1/05/2019","Westlake.",304300,"Auckland.",NA,NA,NA,NA,NA
"3311",3020,"Common Assault",2,"1/05/2019","Springvale East.",1721100,"Wanganui District.",NA,NA,NA,NA,NA
"3312",3021,"Common Assault",2,"1/05/2019","Willis Street-Cambridge Terrace.",2135600,"Wellington City.",NA,NA,NA,NA,NA
"3313",3022,"Common Assault",2,"1/05/2019","Levin West.",1873500,"Horowhenua District.",NA,NA,NA,NA,NA
"3314",3023,"Common Assault",2,"1/05/2019","Kuirau.",1233900,"Rotorua District.",NA,NA,NA,NA,NA
"3315",3024,"Common Assault",2,"1/05/2019","Auckland Harbourside.",433001,"Auckland.",NA,NA,NA,NA,NA
"3316",3025,"Common Assault",2,"1/05/2019","Stuart St-Frederick St.",2901600,"Dunedin City.",NA,NA,NA,NA,NA
"3317",3026,"Common Assault",2,"1/05/2019","Hornby North.",2488604,"Christchurch City.",NA,NA,NA,NA,NA
"3318",3027,"Common Assault",2,"1/05/2019","Mangere South.",726400,"Auckland.",NA,NA,NA,NA,NA
"3319",3028,"Common Assault",2,"1/05/2019","Westown.",1575300,"New Plymouth District.",NA,NA,NA,NA,NA
"3320",3029,"Common Assault",2,"1/05/2019","Wellsford.",142600,"Auckland.",NA,NA,NA,NA,NA
"3321",3030,"Common Assault",2,"1/05/2019","Onekawa South.",1442600,"Napier City.",NA,NA,NA,NA,NA
"3322",3031,"Common Assault",2,"1/05/2019","Takanini South.",767400,"Auckland.",NA,NA,NA,NA,NA
"3323",3032,"Common Assault",2,"1/05/2019","Mahora.",1482900,"Hastings District.",NA,NA,NA,NA,NA
"3324",3033,"Common Assault",2,"1/05/2019","Frankton Junction.",915900,"Hamilton City.",NA,NA,NA,NA,NA
"3325",3034,"Common Assault",2,"1/05/2019","Browns Bay.",160800,"Auckland.",NA,NA,NA,NA,NA
"3326",3035,"Common Assault",2,"1/05/2019","Hamilton Lake.",930102,"Hamilton City.",NA,NA,NA,NA,NA
"3327",3036,"Common Assault",2,"1/05/2019","Stanley Park.",1138200,"South Waikato District.",NA,NA,NA,NA,NA
"3328",3037,"Common Assault",2,"1/05/2019","Manukau Central.",781200,"Auckland.",NA,NA,NA,NA,NA
"3329",3038,"Common Assault",2,"1/05/2019","Whangamata.",1061503,"Thames-Coromandel District.",NA,NA,NA,NA,NA
"3330",3039,"Common Assault",2,"1/05/2019","Mangaore-Manakau.",1853100,"Horowhenua District.",NA,NA,NA,NA,NA
"3331",3040,"Common Assault",2,"1/05/2019","Greytown.",2266100,"South Wairarapa District.",NA,NA,NA,NA,NA
"3332",3041,"Common Assault",2,"1/05/2019","Kaitaia East.",8403,"Far North District.",NA,NA,NA,NA,NA
"3333",3042,"Common Assault",2,"1/05/2019","Morrinsville West.",1088200,"Matamata-Piako District.",NA,NA,NA,NA,NA
"3334",3043,"Common Assault",2,"1/05/2019","Auckland Harbourside.",432800,"Auckland.",NA,NA,NA,NA,NA
"3335",3044,"Common Assault",2,"1/05/2019","Palmerston North Central.",1829200,"Palmerston North City.",NA,NA,NA,NA,NA
"3336",3045,"Common Assault",2,"1/05/2019","Auckland Central West.",434300,"Auckland.",NA,NA,NA,NA,NA
"3337",3046,"Common Assault",2,"1/05/2019","Weymouth East.",774002,"Auckland.",NA,NA,NA,NA,NA
"3338",3047,"Common Assault",2,"1/05/2019","Bastia Hill.",1695300,"Wanganui District.",NA,NA,NA,NA,NA
"3339",3048,"Common Assault",2,"1/05/2019","Trafalgar.",2319000,"Nelson City.",NA,NA,NA,NA,NA
"3340",3049,"Common Assault",2,"1/05/2019","Otahuhu North.",787200,"Auckland.",NA,NA,NA,NA,NA
"3341",3050,"Common Assault",2,"1/05/2019","Mangere Central.",740500,"Auckland.",NA,NA,NA,NA,NA
"3342",3051,"Common Assault",2,"1/05/2019","Hamlin.",641501,"Auckland.",NA,NA,NA,NA,NA
"3343",3052,"Common Assault",2,"1/05/2019","Te Awamutu East.",969705,"Waipa District.",NA,NA,NA,NA,NA
"3344",3053,"Common Assault",2,"1/05/2019","Woburn South.",1966600,"Lower Hutt City.",NA,NA,NA,NA,NA
"3345",3054,"Common Assault",2,"1/05/2019","Darfield.",2469600,"Selwyn District.",NA,NA,NA,NA,NA
"3346",3055,"Common Assault",2,"1/05/2019","Glen Innes West.",463902,"Auckland.",NA,NA,NA,NA,NA
"3347",3056,"Common Assault",2,"1/05/2019","Sydenham.",2616500,"Christchurch City.",NA,NA,NA,NA,NA
"3348",3057,"Common Assault",2,"1/05/2019","Queenstown Bay.",3032900,"Queenstown-Lakes District.",NA,NA,NA,NA,NA
"3349",3058,"Common Assault",2,"1/05/2019","Seacliffe.",319400,"Auckland.",NA,NA,NA,NA,NA
"3350",3059,"Common Assault",2,"1/05/2019","Kuirau.",1231900,"Rotorua District.",NA,NA,NA,NA,NA
"3351",3060,"Common Assault",2,"1/05/2019","Papakura Central.",793000,"Auckland.",NA,NA,NA,NA,NA
"3352",3061,"Common Assault",2,"1/05/2019","Willis Street-Cambridge Terrace.",2133500,"Wellington City.",NA,NA,NA,NA,NA
"3353",3062,"Common Assault",2,"1/05/2019","New Plymouth Central.",1592600,"New Plymouth District.",NA,NA,NA,NA,NA
"3354",3063,"Common Assault",2,"1/05/2019","Grafton East.",442400,"Auckland.",NA,NA,NA,NA,NA
"3355",3064,"Common Assault",2,"1/05/2019","Newtown West.",2164200,"Wellington City.",NA,NA,NA,NA,NA
"3356",3065,"Common Assault",2,"1/05/2019","Eden Terrace.",419706,"Auckland.",NA,NA,NA,NA,NA
"3357",3066,"Common Assault",2,"1/05/2019","Cathedral Square.",2651300,"Christchurch City.",NA,NA,NA,NA,NA
"3358",3067,"Common Assault",2,"1/05/2019","Hamilton Central.",911800,"Hamilton City.",NA,NA,NA,NA,NA
"3359",3068,"Common Assault",2,"1/05/2019","Whangarei Central.",100300,"Whangarei District.",NA,NA,NA,NA,NA
"3360",3069,"Common Assault",2,"1/05/2019","Maraenui.",1447200,"Napier City.",NA,NA,NA,NA,NA
"3361",3070,"Common Assault",2,"1/05/2019","Willis Street-Cambridge Terrace.",2130900,"Wellington City.",NA,NA,NA,NA,NA
"3362",3071,"Common Assault",2,"1/05/2019","Taupo Central.",1274200,"Taupo District.",NA,NA,NA,NA,NA
"3363",3072,"Common Assault",2,"1/05/2019","Beerescourt.",901100,"Hamilton City.",NA,NA,NA,NA,NA
"3364",3073,"Common Assault",2,"1/05/2019","Lambton.",2125800,"Wellington City.",NA,NA,NA,NA,NA
"3365",3074,"Common Assault",2,"1/05/2019","Paparua.",2494600,"Christchurch City.",NA,NA,NA,NA,NA
"3366",3075,"Common Assault",2,"1/05/2019","Saxton.",2359407,"Nelson City.",NA,NA,NA,NA,NA
"3367",3076,"Common Assault",2,"1/05/2019","Cobden.",2405700,"Grey District.",NA,NA,NA,NA,NA
"3368",3077,"Common Assault",2,"1/05/2019","Cathedral Square.",2647500,"Christchurch City.",NA,NA,NA,NA,NA
"3369",3078,"Common Assault",2,"1/05/2019","Totara Heights.",759507,"Auckland.",NA,NA,NA,NA,NA
"3370",3079,"Common Assault",2,"1/05/2019","Onehunga South East.",599800,"Auckland.",NA,NA,NA,NA,NA
"3371",3080,"Common Assault",2,"1/05/2019","Darfield.",2468905,"Selwyn District.",NA,NA,NA,NA,NA
"3372",3081,"Common Assault",2,"1/05/2019","Mona Vale.",2474400,"Christchurch City.",NA,NA,NA,NA,NA
"3373",3082,"Common Assault",2,"1/05/2019","Avon Loop.",2657600,"Christchurch City.",NA,NA,NA,NA,NA
"3374",3083,"Common Assault",2,"1/05/2019","Totara Heights.",760809,"Auckland.",NA,NA,NA,NA,NA
"3375",3084,"Common Assault",2,"1/05/2019","Trafalgar.",2319700,"Nelson City.",NA,NA,NA,NA,NA
"3376",3085,"Common Assault",2,"1/05/2019","Orari.",2769601,"Timaru District.",NA,NA,NA,NA,NA
"3377",3086,"Common Assault",2,"1/05/2019","Taupo Central.",1273900,"Taupo District.",NA,NA,NA,NA,NA
"3378",3087,"Common Assault",2,"1/05/2019","Picton.",2282203,"Marlborough District.",NA,NA,NA,NA,NA
"3379",3088,"Common Assault",2,"1/05/2019","Otakaro Park.",3107000,"Invercargill City.",NA,NA,NA,NA,NA
"3380",3089,"Common Assault",2,"1/05/2019","Otara West.",698600,"Auckland.",NA,NA,NA,NA,NA
"3381",3090,"Common Assault",2,"1/05/2019","Linwood.",2609000,"Christchurch City.",NA,NA,NA,NA,NA
"3382",3091,"Common Assault",2,"1/05/2019","Whakatane West.",1310200,"Whakatane District.",NA,NA,NA,NA,NA
"3383",3092,"Common Assault",2,"1/05/2019","Moera.",1963500,"Lower Hutt City.",NA,NA,NA,NA,NA
"3384",3093,"Common Assault",2,"1/05/2019","Long Bay.",178307,"Auckland.",NA,NA,NA,NA,NA
"3385",3094,"Common Assault",2,"1/05/2019","Petone Central.",2034000,"Lower Hutt City.",NA,NA,NA,NA,NA
"3386",3095,"Common Assault",2,"1/05/2019","Hamilton Lake.",930102,"Hamilton City.",NA,NA,NA,NA,NA
"3387",3096,"Common Assault",2,"1/05/2019","Paremoremo East.",179600,"Auckland.",NA,NA,NA,NA,NA
"3388",3097,"Common Assault",2,"1/05/2019","Manukau Central.",780209,"Auckland.",NA,NA,NA,NA,NA
"3389",3098,"Common Assault",2,"1/05/2019","Nawton.",905600,"Hamilton City.",NA,NA,NA,NA,NA
"3390",3099,"Common Assault",2,"1/05/2019","Panmure Basin.",629500,"Auckland.",NA,NA,NA,NA,NA
"3391",3100,"Common Assault",2,"1/05/2019","Kuirau.",1234400,"Rotorua District.",NA,NA,NA,NA,NA
"3392",3101,"Common Assault",2,"1/05/2019","Gisborne Central.",1371000,"Gisborne District.",NA,NA,NA,NA,NA
"3393",3102,"Common Assault",2,"1/05/2019","Green Bay.",290300,"Auckland.",NA,NA,NA,NA,NA
"3394",3103,"Common Assault",2,"1/05/2019","Te Puke East.",1215400,"Western Bay of Plenty District.",NA,NA,NA,NA,NA
"3395",3104,"Common Assault",2,"1/05/2019","Waiwhetu North.",1976000,"Lower Hutt City.",NA,NA,NA,NA,NA
"3396",3105,"Common Assault",2,"1/05/2019","Gonville South.",1726500,"Wanganui District.",NA,NA,NA,NA,NA
"3397",3106,"Common Assault",2,"1/05/2019","Mangere Central.",740500,"Auckland.",NA,NA,NA,NA,NA
"3398",3107,"Common Assault",2,"1/05/2019","Tauranga Central.",1165700,"Tauranga City.",NA,NA,NA,NA,NA
"3399",3108,"Common Assault",2,"1/05/2019","Kamo West.",82900,"Whangarei District.",NA,NA,NA,NA,NA
"3400",3109,"Common Assault",2,"1/05/2019","Manukau Central.",780902,"Auckland.",NA,NA,NA,NA,NA
"3401",3110,"Common Assault",2,"1/05/2019","Paparua.",2494600,"Christchurch City.",NA,NA,NA,NA,NA
"3402",3111,"Common Assault",2,"1/05/2019","Point England.",477000,"Auckland.",NA,NA,NA,NA,NA
"3403",3112,"Common Assault",2,"1/05/2019","Mangere South.",728614,"Auckland.",NA,NA,NA,NA,NA
"3404",3113,"Common Assault",2,"1/05/2019","Opotiki.",1340502,"Opotiki District.",NA,NA,NA,NA,NA
"3405",3114,"Common Assault",2,"1/05/2019","Horahora.",105800,"Whangarei District.",NA,NA,NA,NA,NA
"3406",3115,"Common Assault",2,"1/05/2019","Whenuapai West.",224000,"Auckland.",NA,NA,NA,NA,NA
"3407",3116,"Common Assault",2,"1/05/2019","Parkway.",2016800,"Lower Hutt City.",NA,NA,NA,NA,NA
"3408",3117,"Common Assault",2,"1/05/2019","Ngaruawahia.",857800,"Waikato District.",NA,NA,NA,NA,NA
"3409",3118,"Common Assault",2,"1/05/2019","Greenmeadows.",1455015,"Napier City.",NA,NA,NA,NA,NA
"3410",3119,"Common Assault",2,"1/05/2019","Trafalgar.",2320200,"Nelson City.",NA,NA,NA,NA,NA
"3411",3120,"Common Assault",2,"1/05/2019","Pongakawa.",1212605,"Western Bay of Plenty District.",NA,NA,NA,NA,NA
"3412",3121,"Common Assault",2,"1/05/2019","Roslyn.",1841202,"Palmerston North City.",NA,NA,NA,NA,NA
"3413",3122,"Common Assault",2,"1/05/2019","Ranui South.",238401,"Auckland.",NA,NA,NA,NA,NA
"3414",3123,"Common Assault",2,"1/05/2019","Kuirau.",1234600,"Rotorua District.",NA,NA,NA,NA,NA
"3415",3124,"Common Assault",2,"1/05/2019","Wyndham.",3097901,"Southland District.",NA,NA,NA,NA,NA
"3416",3125,"Common Assault",2,"1/05/2019","Trentham North.",1895000,"Upper Hutt City.",NA,NA,NA,NA,NA
"3417",3126,"Common Assault",2,"1/05/2019","Kelston Central.",272100,"Auckland.",NA,NA,NA,NA,NA
"3418",3127,"Common Assault",2,"1/05/2019","Henderson South.",243300,"Auckland.",NA,NA,NA,NA,NA
"3419",3128,"Common Assault",2,"1/05/2019","Mosgiel South.",2967400,"Dunedin City.",NA,NA,NA,NA,NA
"3420",3129,"Common Assault",2,"1/05/2019","Meadowland.",711023,"Auckland.",NA,NA,NA,NA,NA
"3421",3130,"Common Assault",2,"1/05/2019","Hamilton Central.",911102,"Hamilton City.",NA,NA,NA,NA,NA
"3422",3131,"Common Assault",2,"1/05/2019","Punaruku-Kiripaka.",61901,"Whangarei District.",NA,NA,NA,NA,NA
"3423",3132,"Common Assault",2,"1/05/2019","Orewa.",172205,"Auckland.",NA,NA,NA,NA,NA
"3424",3133,"Common Assault",2,"1/05/2019","Bader.",923400,"Hamilton City.",NA,NA,NA,NA,NA
"3425",3134,"Common Assault",2,"1/05/2019","Kaikoura Township.",2311900,"Kaikoura District.",NA,NA,NA,NA,NA
"3426",3135,"Common Assault",2,"1/05/2019","Sydenham.",2622701,"Christchurch City.",NA,NA,NA,NA,NA
"3427",3136,"Common Assault",2,"1/05/2019","Te Rapa.",907700,"Hamilton City.",NA,NA,NA,NA,NA
"3428",3137,"Common Assault",2,"1/05/2019","Grafton East.",442400,"Auckland.",NA,NA,NA,NA,NA
"3429",3138,"Common Assault",2,"1/05/2019","Peachgrove.",894300,"Hamilton City.",NA,NA,NA,NA,NA
"3430",3139,"Common Assault",2,"1/05/2019","Kuirau.",1232700,"Rotorua District.",NA,NA,NA,NA,NA
"3431",3140,"Common Assault",2,"1/05/2019","Mansfield.",2455403,"Waimakariri District.",NA,NA,NA,NA,NA
"3432",3141,"Common Assault",2,"1/05/2019","Hamilton Lake.",932400,"Hamilton City.",NA,NA,NA,NA,NA
"3433",3142,"Common Assault",2,"1/05/2019","Pomare.",1229500,"Rotorua District.",NA,NA,NA,NA,NA
"3434",3143,"Common Assault",2,"1/05/2019","Lambton.",2128100,"Wellington City.",NA,NA,NA,NA,NA
"3435",3144,"Common Assault",2,"1/05/2019","Opawa.",2583500,"Christchurch City.",NA,NA,NA,NA,NA
"3436",3145,"Common Assault",2,"1/05/2019","Takapuna Central.",327500,"Auckland.",NA,NA,NA,NA,NA
"3437",3146,"Common Assault",2,"1/05/2019","Arataki.",1200900,"Tauranga City.",NA,NA,NA,NA,NA
"3438",3147,"Common Assault",2,"1/05/2019","Adelaide.",2147900,"Wellington City.",NA,NA,NA,NA,NA
"3439",3148,"Common Assault",2,"1/05/2019","Frankton Junction.",913800,"Hamilton City.",NA,NA,NA,NA,NA
"3440",3149,"Common Assault",2,"1/05/2019","Caversham.",2912703,"Dunedin City.",NA,NA,NA,NA,NA
"3441",3150,"Common Assault",2,"1/05/2019","Auckland Central West.",433401,"Auckland.",NA,NA,NA,NA,NA
"3442",3151,"Common Assault",2,"1/05/2019","Caversham.",2915300,"Dunedin City.",NA,NA,NA,NA,NA
"3443",3152,"Common Assault",2,"1/05/2019","Richmond East.",2363204,"Tasman District.",NA,NA,NA,NA,NA
"3444",3153,"Common Assault",2,"1/05/2019","Taita North.",1940200,"Lower Hutt City.",NA,NA,NA,NA,NA
"3445",3154,"Common Assault",2,"1/05/2019","Willis Street-Cambridge Terrace.",2133200,"Wellington City.",NA,NA,NA,NA,NA
"3446",3155,"Common Assault",2,"1/05/2019","Auckland Central West.",434300,"Auckland.",NA,NA,NA,NA,NA
"3447",3156,"Common Assault",2,"1/05/2019","Nawton.",905600,"Hamilton City.",NA,NA,NA,NA,NA
"3448",3157,"Common Assault",2,"1/05/2019","Linden.",1995300,"Wellington City.",NA,NA,NA,NA,NA
"3449",3158,"Common Assault",2,"1/05/2019","Hamilton Lake.",932400,"Hamilton City.",NA,NA,NA,NA,NA
"3450",3159,"Common Assault",2,"1/05/2019","Fairdene.",233102,"Auckland.",NA,NA,NA,NA,NA
"3451",3160,"Common Assault",2,"1/05/2019","Onekawa Central.",1439400,"Napier City.",NA,NA,NA,NA,NA
"3452",3161,"Common Assault",2,"1/05/2019","Dargaville.",115300,"Kaipara District.",NA,NA,NA,NA,NA
"3453",3162,"Common Assault",2,"1/05/2019","Levin West.",1871900,"Horowhenua District.",NA,NA,NA,NA,NA
"3454",3163,"Common Assault",2,"1/05/2019","Queenstown Bay.",3033301,"Queenstown-Lakes District.",NA,NA,NA,NA,NA
"3455",3164,"Common Assault",2,"1/05/2019","Bethlehem.",1190400,"Tauranga City.",NA,NA,NA,NA,NA
"3456",3165,"Common Assault",2,"1/05/2019","Wiri.",780416,"Auckland.",NA,NA,NA,NA,NA
"3457",3166,"Common Assault",2,"1/05/2019","Shirley East.",2596200,"Christchurch City.",NA,NA,NA,NA,NA
"3458",3167,"Aggravated Sexual Assault",2,"1/05/2019","Sunnyhills.",694900,"Auckland.",NA,NA,NA,NA,NA
"3459",3168,"Aggravated Sexual Assault",2,"1/05/2019","999999",-400,"Queenstown-Lakes District.",NA,NA,NA,NA,NA
"3460",3169,"Aggravated Sexual Assault",2,"1/05/2019","999999",-64,"Auckland.",NA,NA,NA,NA,NA
"3461",3170,"Non-Aggravated Sexual Assault",2,"1/05/2019","Taita North.",1935000,"Lower Hutt City.",NA,NA,NA,NA,NA
"3462",3171,"Aggravated Sexual Assault",2,"1/05/2019","Paparua.",2494500,"Christchurch City.",NA,NA,NA,NA,NA
"3463",3172,"Aggravated Sexual Assault",2,"1/05/2019","Hutt Central.",1968300,"Lower Hutt City.",NA,NA,NA,NA,NA
"3464",3173,"Non-Aggravated Sexual Assault",2,"1/05/2019","Bruce.",2988300,"Clutha District.",NA,NA,NA,NA,NA
"3465",3174,"Aggravated Sexual Assault",2,"1/05/2019","Muriwai Beach.",218805,"Auckland.",NA,NA,NA,NA,NA
"3466",3175,"Non-Aggravated Sexual Assault",2,"1/05/2019","Swarbrick.",917800,"Hamilton City.",NA,NA,NA,NA,NA
"3467",3176,"Aggravated Sexual Assault",2,"1/05/2019","Hokonui.",3073100,"Southland District.",NA,NA,NA,NA,NA
"3468",3177,"Aggravated Sexual Assault",2,"1/05/2019","Maruia.",2398200,"Buller District.",NA,NA,NA,NA,NA
"3469",3178,"Non-Aggravated Sexual Assault",2,"1/05/2019","Waihi.",1077800,"Hauraki District.",NA,NA,NA,NA,NA
"3470",3179,"Aggravated Sexual Assault",2,"1/05/2019","Cooks Gardens.",1699500,"Wanganui District.",NA,NA,NA,NA,NA
"3471",3180,"Aggravated Sexual Assault",2,"1/05/2019","Eden Terrace.",420700,"Auckland.",NA,NA,NA,NA,NA
"3472",3181,"Aggravated Sexual Assault",2,"1/05/2019","Mt Wellington Domain.",628100,"Auckland.",NA,NA,NA,NA,NA
"3473",3182,"Non-Aggravated Sexual Assault",2,"1/05/2019","Auckland Central East.",436201,"Auckland.",NA,NA,NA,NA,NA
"3474",3183,"Aggravated Sexual Assault",2,"1/05/2019","Hamilton Lake.",929606,"Hamilton City.",NA,NA,NA,NA,NA
"3475",3184,"Aggravated Sexual Assault",2,"1/05/2019","Bridge Pa.",1470213,"Hastings District.",NA,NA,NA,NA,NA
"3476",3185,"Non-Aggravated Sexual Assault",2,"1/05/2019","Auckland Central East.",437500,"Auckland.",NA,NA,NA,NA,NA
"3477",3186,"Aggravated Sexual Assault",2,"1/05/2019","Middlemore.",786500,"Auckland.",NA,NA,NA,NA,NA
"3478",3187,"Aggravated Sexual Assault",2,"1/05/2019","Anderson Park.",1505600,"Hastings District.",NA,NA,NA,NA,NA
"3479",3188,"Aggravated Sexual Assault",2,"1/05/2019","Gladstone-Avenal.",3115300,"Invercargill City.",NA,NA,NA,NA,NA
"3480",3189,"Aggravated Sexual Assault",2,"1/05/2019","Redwoodtown.",2304600,"Marlborough District.",NA,NA,NA,NA,NA
"3481",3190,"Aggravated Sexual Assault",2,"1/05/2019","Otorohanga Rural East.",999102,"Otorohanga District.",NA,NA,NA,NA,NA
"3482",3191,"Aggravated Sexual Assault",2,"1/05/2019","Hikuai.",1056300,"Thames-Coromandel District.",NA,NA,NA,NA,NA
"3483",3192,"Aggravated Sexual Assault",2,"1/05/2019","Maupuia.",2201200,"Wellington City.",NA,NA,NA,NA,NA
"3484",3193,"Non-Aggravated Sexual Assault",2,"1/05/2019","Paraite.",1559100,"New Plymouth District.",NA,NA,NA,NA,NA
"3485",3194,"Aggravated Sexual Assault",2,"1/05/2019","Homai East.",777700,"Auckland.",NA,NA,NA,NA,NA
"3486",3195,"Aggravated Sexual Assault",2,"1/05/2019","Mangere Central.",740500,"Auckland.",NA,NA,NA,NA,NA
"3487",3196,"Aggravated Sexual Assault",2,"1/05/2019","999999",-190,"New Plymouth District.",NA,NA,NA,NA,NA
"3488",3197,"Non-Aggravated Sexual Assault",2,"1/05/2019","Papatoetoe North.",663200,"Auckland.",NA,NA,NA,NA,NA
"3489",3198,"Non-Aggravated Sexual Assault",2,"1/05/2019","Tauranga Central.",1166500,"Tauranga City.",NA,NA,NA,NA,NA
"3490",3199,"Common Assault",4,"1/03/2019","Tokoroa Central.",1143400,"South Waikato District.",NA,NA,NA,NA,NA
"3491",3200,"Common Assault",4,"1/03/2019","The Brook.",2332701,"Nelson City.",NA,NA,NA,NA,NA
"3492",3201,"Common Assault",4,"1/03/2019","Feilding East.",1772500,"Manawatu District.",NA,NA,NA,NA,NA
"3493",3202,"Common Assault",4,"1/03/2019","Cannons Creek North.",2047001,"Porirua City.",NA,NA,NA,NA,NA
"3494",3203,"Common Assault",4,"1/03/2019","Cannons Creek East.",2065000,"Porirua City.",NA,NA,NA,NA,NA
"3495",3204,"Common Assault",4,"1/03/2019","Marewa.",1435700,"Napier City.",NA,NA,NA,NA,NA
"3496",3205,"Common Assault",4,"1/03/2019","Russley.",2520603,"Christchurch City.",NA,NA,NA,NA,NA
"3497",3206,"Common Assault",4,"1/03/2019","Foxton.",1781500,"Horowhenua District.",NA,NA,NA,NA,NA
"3498",3207,"Common Assault",4,"1/03/2019","Camberley.",1479300,"Hastings District.",NA,NA,NA,NA,NA
"3499",3208,"Common Assault",4,"1/03/2019","Rehia-Oneriri.",132402,"Kaipara District.",NA,NA,NA,NA,NA
"3500",3209,"Common Assault",4,"1/03/2019","Otahuhu North.",787100,"Auckland.",NA,NA,NA,NA,NA
"3501",3210,"Common Assault",4,"1/03/2019","Bethlehem.",1191202,"Tauranga City.",NA,NA,NA,NA,NA
"3502",3211,"Common Assault",4,"1/03/2019","Rotoma.",1324300,"Whakatane District.",NA,NA,NA,NA,NA
"3503",3212,"Common Assault",4,"1/03/2019","South Head.",210301,"Auckland.",NA,NA,NA,NA,NA
"3504",3213,"Common Assault",4,"1/03/2019","Cobden.",2404300,"Grey District.",NA,NA,NA,NA,NA
"3505",3214,"Common Assault",4,"1/03/2019","Maketu Community.",1209002,"Western Bay of Plenty District.",NA,NA,NA,NA,NA
"3506",3215,"Common Assault",4,"1/03/2019","Solway North.",2230300,"Masterton District.",NA,NA,NA,NA,NA
"3507",3216,"Common Assault",4,"1/03/2019","Oranga.",602600,"Auckland.",NA,NA,NA,NA,NA
"3508",3217,"Common Assault",4,"1/03/2019","Grey Lynn West.",403600,"Auckland.",NA,NA,NA,NA,NA
"3509",3218,"Common Assault",4,"1/03/2019","Cloverlea.",1821301,"Palmerston North City.",NA,NA,NA,NA,NA
