"","X","ANZSOC.Group","Alert.Level","date","Area.Unit","Meshblock","Territorial.Authority","District","Calls.for.Service.and.Prevention","Crime.and.NonCrime.Demand","Event.Category","No"
"202",111,"Common Assault",2,"1/05/2017","Surrey Crescent.",405800,"Auckland.","Waitemata","Demand","Crime","Violence",3
"203",112,"Common Assault",2,"1/05/2017","Paparua.",2494600,"Christchurch City.",NA,NA,NA,NA,NA
"204",112,"Non-Aggravated Sexual Assault",2,NA,NA,NA,NA,"Wellington","Demand","Crime","Sexual",2
"205",113,"Aggravated Sexual Assault",2,NA,NA,NA,NA,"Wellington","Demand","Crime","Sexual",1
"206",113,"Common Assault",2,"1/05/2017","Awapuni North.",1802100,"Palmerston North City.",NA,NA,NA,NA,NA
"207",114,"Common Assault",2,"1/05/2017","Hornby South.",2491402,"Christchurch City.",NA,NA,NA,NA,NA
"208",114,"Non-Aggravated Sexual Assault",2,NA,NA,NA,NA,"Wellington","Demand","Crime","Sexual",1
"209",115,"Assault not further defined",2,NA,NA,NA,NA,"Wellington","Demand","Crime","Violence",1
"210",115,"Common Assault",2,"1/05/2017","Gulf Harbour.",175123,"Auckland.",NA,NA,NA,NA,NA
"211",116,"Assault not further defined",2,NA,NA,NA,NA,"Wellington","Demand","Crime","Violence",2
"212",116,"Common Assault",2,"1/05/2017","Murupara.",1328300,"Whakatane District.",NA,NA,NA,NA,NA
"213",117,"Common Assault",2,"1/05/2017","Moanataiari.",1052200,"Thames-Coromandel District.","Wellington","Demand","Crime","Violence",3
"214",118,"Assault not further defined",2,NA,NA,NA,NA,"Wellington","Demand","Crime","Violence",2
"215",118,"Common Assault",2,"1/05/2017","Phillipstown.",2605100,"Christchurch City.",NA,NA,NA,NA,NA
"216",119,"Assault not further defined",2,NA,NA,NA,NA,"Wellington","Demand","Crime","Violence",1
"217",119,"Common Assault",2,"1/05/2017","Wesley.",579200,"Auckland.",NA,NA,NA,NA,NA
"218",120,"Assault not further defined",2,NA,NA,NA,NA,"Wellington","Demand","Crime","Violence",3
"219",120,"Common Assault",2,"1/05/2017","Dannemora.",712014,"Auckland.",NA,NA,NA,NA,NA
"220",121,"Common Assault",2,"1/05/2017","999999",-79,"Auckland.","Wellington","Demand","Crime","Violence",3
