"","District","date","Event.Type","Number of victims","Territorial.Authority","ANZSOC.Group"
"4746",NA,"1/6/19",NA,196478,"Hastings District.","Serious Assault Resulting in Injury"
"4747",NA,"1/6/19",NA,196479,"Tararua District.","Common Assault"
"4748",NA,"1/6/19",NA,196484,"Christchurch City.","Common Assault"
"4749",NA,"1/6/19",NA,196489,"Napier City.","Common Assault"
"4750",NA,"1/6/19",NA,196494,"Dunedin City.","Common Assault"
"4751",NA,"1/6/19",NA,196496,"New Plymouth District.","Serious Assault Not Resulting in Injury"
"4752",NA,"1/6/19",NA,196501,"Auckland.","Serious Assault Not Resulting in Injury"
"4753",NA,"1/6/19",NA,196506,"Nelson City.","Serious Assault Not Resulting in Injury"
"4754",NA,"1/6/19",NA,196508,"Auckland.","Serious Assault Resulting in Injury"
"4755",NA,"1/6/19",NA,196513,"Grey District.","Serious Assault Resulting in Injury"
"4756",NA,"1/6/19",NA,196545,"Waikato District.","Aggravated Sexual Assault"
"4757",NA,"1/6/19",NA,196547,"Napier City.","Non-Aggravated Sexual Assault"
"4758",NA,"1/6/19",NA,196550,"Whangarei District.","Aggravated Sexual Assault"
"4759",NA,"1/6/19",NA,196555,"Palmerston North City.","Aggravated Sexual Assault"
"4760",NA,"1/6/19",NA,196557,"Dunedin City.","Non-Aggravated Sexual Assault"
"4761",NA,"1/6/19",NA,196560,"Christchurch City.","Aggravated Sexual Assault"
"4762",NA,"1/6/19",NA,196565,"Napier City.","Aggravated Sexual Assault"
"4763",NA,"1/10/19",NA,196969,"Dunedin City.","Common Assault"
"4764",NA,"1/10/19",NA,196976,"Auckland.","Serious Assault Not Resulting in Injury"
"4765",NA,"1/10/19",NA,196978,"Napier City.","Serious Assault Resulting in Injury"
"4766",NA,"1/10/19",NA,196979,"Tauranga City.","Common Assault"
"4767",NA,"1/10/19",NA,196986,"Christchurch City.","Serious Assault Not Resulting in Injury"
"4768",NA,"1/10/19",NA,196989,"Palmerston North City.","Common Assault"
