OBJECTID,TALB2018_V1_00,TALB2018_V1_00_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM,Age__life_cycle_groups_15_29_years_2006,Age__life_cycle_groups_30_64_years_2006,Age__life_cycle_groups_65_years_and_over_2006,Age__life_cycle_groups_total_2006,Age__life_cycle_groups_Under_15_years_2006,Age__life_cycle_groups_15_29_years_2013,Age__life_cycle_groups_30_64_years_2013,Age__life_cycle_groups_65_years_and_over_2013,Age__life_cycle_groups_total_2013,Age__life_cycle_groups_Under_15_years_2013,Age__life_cycle_groups_15_29_years_2018,Age__life_cycle_groups_30_64_years_2018,Age__life_cycle_groups_65_years_and_over_2018,Age__life_cycle_groups_total_2018,Age__life_cycle_groups_Under_15_years_2018,Pop_Total_2006,Pop_Total_2013,Pop_Total_2018,Age__life_cycle_groups_15_29_years_2013_2018_percentChange,Age__life_cycle_groups_30_64_years_2013_2018_percentChange,Age__life_cycle_groups_65_years_and_over_2013_2018_percentChange,Age__life_cycle_groups_total_2013_2018_percentChange,Age__life_cycle_groups_Under_15_years_2013_2018_percentChange
73,07607,Waitakere Ranges Local Board Area,305.732502260000220,943.004891840000820,8343,22752,3372,45498,11031,8763,24090,4542,48399,11007,9933,25434,5388,52095,11337,45498,48399,52095,13.400000000000000,5.600000000000000,18.600000000000001,7.600000000000000,3.000000000000000
74,07608,Great Barrier Local Board Area,320.414100799999970,4485.550194040000000,78,537,144,894,135,57,519,210,939,150,90,480,225,936,138,894,939,936,57.899999999999999,-7.500000000000000,7.100000000000000,-0.300000000000000,-8.000000000000000
75,07609,Waiheke Local Board Area,154.772597020000180,1353.463758059999900,1035,4263,1008,7797,1491,1047,4278,1551,8340,1467,1281,4455,1896,9063,1434,7797,8340,9063,22.300000000000001,4.100000000000000,22.199999999999999,8.699999999999999,-2.200000000000000
76,07610,Waitemata Local Board Area,19.423449809999983,27.929704509999958,24189,28755,3495,62928,6492,29865,34473,4914,77136,7881,30387,38118,6543,82866,7818,62928,77136,82866,1.700000000000000,10.600000000000000,33.200000000000003,7.400000000000000,-0.800000000000000
77,07611,Whau Local Board Area,26.822559420000001,49.316985820000056,15891,30798,8061,69171,14421,16197,32808,9081,72594,14508,18480,36252,9624,79356,15000,69171,72594,79356,14.100000000000000,10.500000000000000,6.000000000000000,9.300000000000001,3.400000000000000
78,07612,Albert-Eden Local Board Area,28.341543850000019,32.998748570000039,23877,42363,7524,90978,17214,23340,44862,8634,94695,17859,25587,46386,9942,98622,16710,90978,94695,98622,9.600000000000000,3.400000000000000,15.100000000000000,4.100000000000000,-6.400000000000000
79,07613,Puketapapa Local Board Area,18.718318859999989,28.992710599999988,12378,22392,5676,50802,10359,13158,23601,6147,52938,10032,15078,25365,7014,57555,10098,50802,52938,57555,14.600000000000000,7.500000000000000,14.100000000000000,8.699999999999999,0.700000000000000
80,07614,Orakei Local Board Area,32.347315619999996,50.370152670000046,13800,36657,9894,74520,14166,14052,38253,11898,79539,15339,15813,39735,13338,84318,15435,74520,79539,84318,12.500000000000000,3.900000000000000,12.100000000000000,6.000000000000000,0.600000000000000
81,07615,Maungakiekie-Tamaki Local Board Area,36.375436829999977,42.585050200000026,15225,30285,5877,66372,14991,15456,32187,7203,70005,15159,18132,34659,8115,76284,15381,66372,70005,76284,17.300000000000001,7.700000000000000,12.699999999999999,9.000000000000000,1.500000000000000
82,07616,Howick Local Board Area,69.684640319999971,95.366366820000138,23904,54102,11604,113505,23898,25707,60228,15993,127125,25194,28542,66066,19086,140970,27279,113505,127125,140970,11.000000000000000,9.699999999999999,19.300000000000001,10.900000000000000,8.300000000000001
83,07617,Mangere-Otahuhu Local Board Area,52.510681199999986,116.042660689999930,16125,26916,4665,68154,20445,17142,28095,5754,70959,19971,19686,31419,6645,78450,20700,68154,70959,78450,14.800000000000001,11.800000000000001,15.500000000000000,10.600000000000000,3.700000000000000
84,07618,Otara-Papatoetoe Local Board Area,37.109707679999993,43.683270779999951,17070,29121,5658,72324,20478,18951,30588,6516,75663,19605,23328,34233,6951,85122,20610,72324,75663,85122,23.100000000000001,11.900000000000000,6.700000000000000,12.500000000000000,5.100000000000000
85,07619,Manurewa Local Board Area,37.116123679999980,43.249796519999975,17427,31911,5391,77190,22461,19176,33948,6933,82242,22185,23985,39021,7977,95670,24687,77190,82242,95670,25.100000000000001,14.900000000000000,15.100000000000000,16.300000000000001,11.300000000000001
86,07620,Papakura Local Board Area,40.225070779999925,45.658600129999940,8838,17943,4272,41559,10503,9864,19437,5196,45636,11136,13155,24786,6063,57636,13632,41559,45636,57636,33.399999999999999,27.500000000000000,16.699999999999999,26.300000000000001,22.399999999999999
87,07621,Franklin Local Board Area,1199.754304149997300,2282.007264889999500,9150,29202,6105,58605,14148,10605,31125,8955,65319,14634,12882,34896,11295,74838,15765,58605,65319,74838,21.500000000000000,12.100000000000000,26.100000000000001,14.600000000000000,7.700000000000000
88,99900,Area Outside Territorial Authority,30.010977120000000,127028.875862739980000,36,117,18,177,6,3,36,12,51,3,6,18,9,39,3,177,51,39,100.000000000000000,-50.000000000000000,-25.000000000000000,-23.500000000000000,0.000000000000000
