OBJECTID,dp_zone,SubZone,Centre_Type,Property_Report_Note,GlobalID,Shape__Area,Shape__Length
118,Outer Residential,,,,973d166b-9875-4982-b63b-920a82818485,7491.8359375,359.937584617373
119,Outer Residential,,,,c4685beb-1143-4e02-9ce4-9c0cab80bcd7,7645.8671875,449.005326380171
120,Outer Residential,,,,f91729d6-c5fd-4747-a143-8e2fb16ad3c3,7664.578125,358.937059582621
121,Outer Residential,,,,03b4c522-1a27-499b-a25f-dac11833c7ad,7683.0390625,376.625825279354
122,Outer Residential,,,,d03412f7-3a1b-42e0-951a-a35a7817f966,8798.421875,445.171534255116
123,Outer Residential,,,,7e46a4a8-e258-4883-b7ed-8d5648e98363,7669.9375,526.52777414982
124,Outer Residential,,,,3d231218-7b6b-47d3-8c8e-9cf741fa4e94,7705.0078125,405.736797541403
125,Outer Residential,,,,dd4ffb00-9908-4e65-bd6b-586e0493e1f0,7776.15625,389.789485437635
126,Outer Residential,,,,0e0951aa-b84c-441c-a171-48e4aa19cf41,7808.703125,440.165808733834
127,Outer Residential,,,,72496fcf-38c7-4eac-a901-038d8a352ed1,7866.078125,380.67524473325
128,Outer Residential,,,,7128586c-7d32-420f-95f5-33af715d249c,7902.65625,370.469022078111
129,Outer Residential,,,,06138c34-63c4-4637-80d9-02b712621fc3,7917.453125,418.550792425007
130,Outer Residential,,,,9be0e83d-615d-4ed2-b644-d9b380248015,7962.59375,421.816758668664
131,Outer Residential,,,,c3de0d60-050d-4cac-8b41-7b6e61985b68,8036.375,453.81873924537
132,Outer Residential,,,,2e09df12-b5c3-4e26-99d4-184971085a6c,8018.875,379.408016327832
133,Outer Residential,,,,7952aea7-3327-4604-8260-a3399797c803,8028.75,442.78316053099
134,Outer Residential,,,,0d5e1179-8d1f-45a0-b55a-199b80d34321,8179.03125,429.795226033368
135,Outer Residential,,,,894b41c2-9e27-4a4e-b6f9-757b4203c42b,8235.359375,529.952005561355
136,Outer Residential,,,,ab7b58ea-fb0e-4a12-b907-96a4f87d85b0,8207.171875,421.571999904679
137,Outer Residential,,,,96dedad3-968a-4e93-8de4-67367b56faa6,8301.2890625,430.571690294299
138,Outer Residential,,,,ece158ad-e346-4f97-b808-b9886a95157c,8331.125,538.693943242866
139,Outer Residential,,,,86c89f97-f39f-4b63-a745-8716a70ed456,8364.265625,484.281783305781
140,Outer Residential,,,,3c175014-06d6-4e94-9085-ae58b9dee0d8,8399.921875,401.410285079175
141,Outer Residential,,,,cd8dab7e-f806-42b1-a2a4-eaf23aeba9de,8557.6484375,408.450886089782
142,Outer Residential,,,,66dd40df-2eff-4822-aac5-45681de160dd,8547.390625,501.987252558405
143,Outer Residential,,,,0107da3a-d6af-4584-9c3d-e0661e14db26,8573.5,447.457589261162
144,Outer Residential,,,,c67b041c-a0ff-4370-8bc9-78e0d421ddc6,8615.84375,572.217435658108
145,Outer Residential,,,,4b989868-2874-4471-8844-4b86334796f4,8670.8125,377.11299576745
146,Outer Residential,,,,7eebcb66-5863-402e-b8aa-e9e162746cbe,8822.6875,387.626568370772
147,Outer Residential,,,,ebe0c894-5ef2-496f-934a-420f06d20841,8815.8125,485.807816507865
148,Outer Residential,,,,b83bd2a1-b888-4366-b5bf-2c849fea5f82,8913.6328125,475.565424752494
149,Outer Residential,,,,f93f1186-3e31-4691-9a12-481cfe8c88d5,8953.234375,377.376189301557
150,Outer Residential,,,,f453684b-fc0b-4ae9-9bc0-e29ef7184a34,9049.8125,517.1140392182
151,Outer Residential,,,,68797056-bc7a-483d-a02d-a45a7f713e30,9053.1171875,579.935802728322
152,Outer Residential,,,,4fef7c16-5da4-44c0-8a04-19d5455f9847,9060.4765625,646.846087925318
153,Outer Residential,,,,d425e59a-33ce-43cb-ab35-9311b3651fc4,9079.0390625,567.514566763873
154,Outer Residential,,,,37565517-0be8-4911-971c-8edca450951d,9140.109375,405.026590296184
155,Outer Residential,,,,1a98a5df-00c6-4a09-8438-9ff0d87677fa,9151.7265625,415.57875556186
156,Outer Residential,,,,0f41be92-36e7-4851-a591-1093c307c8c0,9175.53125,511.949413508224
157,Outer Residential,,,,d23c2f1d-c872-4312-93f3-6cf9a1f818e0,9260.015625,391.277749333038
158,Outer Residential,,,,258e0fa8-1e36-44f4-abef-7b3f5c8d505c,9273.0078125,594.86844041608
159,Outer Residential,,,,9c761a5c-8aad-4285-aafc-ea3d3576e15a,9379.03125,533.473998085779
160,Outer Residential,,,,64310c9e-4923-48c8-a446-4a7a2456a895,9383.0390625,551.427289020225
161,Outer Residential,,,,20f83105-fd9c-437b-9980-f83108026b13,9426.0546875,434.975825961435
162,Outer Residential,,,,24d5a030-557c-467d-91b6-5b0ea80930e4,9448.9765625,540.602858900235
163,Outer Residential,,,,66abd928-a7b1-4efc-9a45-a4cc9a1d62d1,9665.6484375,383.844948454049
164,Outer Residential,,,,2f1c1c78-ed8c-4732-bc85-7c9034d94b86,9797.4375,407.055308625826
165,Outer Residential,,,,a85c867e-60a8-426d-aa8a-3fa9c5059b14,9807.453125,390.564128835831
166,Outer Residential,,,,599d0a1e-d408-4ddb-832c-781c098b939a,9973.2578125,431.409335284958
167,Outer Residential,,,,a75627a7-4a48-4671-b6d5-07a0ec2fa5f6,9948.8515625,480.021903800678
168,Outer Residential,,,,a3f9b716-5101-4b85-a15c-88acc3119f9c,9984.671875,468.992879358961
169,Outer Residential,,,,41441c15-5efb-458f-98be-9f084fa770bf,9981.765625,466.066696369819
170,Outer Residential,,,,890bcb63-6989-4ad8-be08-378a571f489a,10023.2578125,418.18431844334
171,Outer Residential,,,,c1da51fa-54ab-443e-8880-896f9926f570,10030.15625,430.245908269755
172,Outer Residential,,,,8ccff394-3b93-428d-b680-f9a657e66474,9997.921875,496.305146991559
173,Outer Residential,,,,09d139fd-d879-4be6-8106-bbb02a09c50a,10173.84375,423.532096849532
174,Outer Residential,,,,8c34f7b2-58f5-4f41-b25a-1f9f23ddcf79,10162.484375,557.805091335745
175,Outer Residential,,,,fa04fa0f-8447-48ad-a5c6-3e37f7297b37,10160.7890625,552.822776947491
176,Outer Residential,,,,84d1514c-baa0-461c-adb0-6c2a4aaa7df5,10249.234375,442.290089286058
177,Outer Residential,,,,e087d95a-33b6-4fad-a292-e09ec722b964,10314.6640625,476.089368711287
178,Outer Residential,,,,4c8785a3-87bf-41b0-a04b-c19d69775b71,10311.375,512.540937630896
179,Outer Residential,,,,931959d7-6ce8-470a-9d7e-b642563d2c16,10342.5390625,503.466450484345
180,Outer Residential,,,,1d2b93e8-b707-4d29-9c3c-c6772d119475,10372.796875,488.873238842613
181,Outer Residential,,,,66c0f67d-4769-4720-8a6b-b4e101c6575c,10453.5234375,573.870801615024
182,Outer Residential,,,,a5e2f493-d704-4494-9340-3490b1d83150,10466.421875,486.799198348851
183,Outer Residential,,,,23176d07-b507-4266-9201-e302341d73d6,10607.7890625,792.926442391733
184,Outer Residential,,,,3d0018fe-c857-4db0-9d9e-9ad60407e6ad,10723.2265625,425.163773641241
185,Outer Residential,,,,07a7870e-8359-4993-b2b1-fab0554b05e4,10853.0078125,508.115126974878
186,Outer Residential,,,,7de30320-dc39-41cd-99af-9c5a3073253a,10908.2109375,413.667710466005
187,Outer Residential,,,,17d4a1a3-9a12-4653-ae7b-820199d9964c,10901.40625,429.867420739079
188,Outer Residential,,,,bd5428f5-be2e-484a-8c14-273d109d40ad,10931.9375,415.137228649847
189,Outer Residential,,,,f10321e9-ba58-4522-9c0a-7f033beb69b9,10927.6484375,605.115552691864
190,Outer Residential,,,,e0c4246b-2474-477a-a12b-8ecd5fcc1115,11040.1328125,428.191629852503
191,Outer Residential,,,,ca35ad58-9d22-4d13-bfaf-3096806e1737,11000.1875,637.657260315899
192,Outer Residential,,,,b54c0f26-af22-45b8-b97e-1729db50ac6e,11287.5234375,655.115256696829
193,Outer Residential,,,,847d1ba6-ff70-4639-8a9a-7de3db1541b6,11321.6796875,587.799141340003
194,Outer Residential,,,,7e0298bd-2d49-44a9-9e6b-d1d3ea3e3e08,11439.8828125,478.36146539945
195,Outer Residential,,,,a969279e-8163-40d0-b9fb-5033ecb30e2f,11491.765625,682.932711975217
196,Outer Residential,,,,11c08655-1a36-4592-8bd4-fdc184936809,11611.234375,443.237783475802
197,Outer Residential,,,,4407c6a7-0192-4e69-af6e-9dacd432fa85,11614.09375,498.318955380833
198,Outer Residential,,,,cdcc0112-b7a7-4abf-b5c7-0d8e400199b1,11636.84375,605.960432606426
199,Outer Residential,,,,08c152b1-5664-496d-b8d5-6a38c72bfbb5,11649.625,477.530187607047
200,Outer Residential,,,,56c08e46-12db-4d63-96df-100fec0d6fa8,11738.109375,611.598027944087
201,Outer Residential,,,,369fa961-5030-424e-b76f-b0317412ec23,11823.3671875,481.677666930626
202,Outer Residential,,,,b23ac40a-b205-452e-9727-5fcc8d7648a5,11848.828125,596.504164205583
203,Outer Residential,,,,3c359a9e-15c0-4777-b187-ae15b01b22c0,11881.328125,468.471017053424
