"","month","year","Event","Area.Unit","Meshblock","Territorial.Authority","Alert.Level","Location","No"
"2861","4","19","Common Assault","Waiwhetu South.",1978900,"Lower Hutt City.",3,"Wellington/ Lower-Central North",NA
"2862","4","19","Serious Assault Not Resulting in Injury","Insoll.",874000,"Hamilton City.",3,"Waikato",NA
"2863","4","19","Aggravated Sexual Assault","Sydenham.",2619901,"Christchurch City.",3,"Canterbury",NA
"2864","3","19","Common Assault","Doncaster.",1206862,"Tauranga City.",4,"Bay Of Plenty",NA
"2865","3","19","Serious Assault Not Resulting in Injury","Ranui Domain.",235103,"Auckland.",4,"Auckland",NA
"2866","3","19","Serious Assault Not Resulting in Injury","Mahora.",1484500,"Hastings District.",4,"Hawkes Bay/ Gisborne",NA
"2867","3","19","Common Assault","Massey West.",226504,"Auckland.",4,"Auckland",NA
"2868","3","19","Serious Assault Not Resulting in Injury","Pukekohe West.",820505,"Auckland.",4,"Auckland",NA
"2869","3","19","Common Assault","Willis Street-Cambridge Terrace.",2135900,"Wellington City.",4,"Wellington/ Lower-Central North",NA
"2870","3","19","Common Assault","Target Road.",183201,"Auckland.",4,"Auckland",NA
"2871","3","19","Serious Assault Not Resulting in Injury","Wainoni.",2570300,"Christchurch City.",4,"Canterbury",NA
"2872","3","19","Serious Assault Not Resulting in Injury","Manukau Central.",780209,"Auckland.",4,"Auckland",NA
"2873","3","19","Common Assault","Auckland Central West.",434701,"Auckland.",4,"Auckland",NA
"2874","3","19","Common Assault","Pokeno.",842200,"Waikato District.",4,"Waikato",NA
"2875","3","19","Serious Assault Not Resulting in Injury","Hamilton Central.",912400,"Hamilton City.",4,"Waikato",NA
"2876","3","19","Serious Assault Not Resulting in Injury","Kingsley-Chatham.",1470311,"Hastings District.",4,"Hawkes Bay/ Gisborne",NA
"2877","3","19","Serious Assault Resulting in Injury","Halfway Bush.",2888300,"Dunedin City.",4,"Southland/ Otago",NA
"2878","3","19","Common Assault","Ardmore.",761700,"Auckland.",4,"Auckland",NA
