"","year","Event","Meshblock","Alert.Level","Location","number_of_victimizations"
"659","17","Common Assault",1633400,3,"West Coast/ Upper-Central North",NA
"660","17","Common Assault",178900,3,"Auckland",NA
"661","17","Common Assault",752802,3,"Auckland",NA
"662","17","Serious Assault Not Resulting in Injury",1695800,3,"West Coast/ Upper-Central North",NA
"663","17","Common Assault",2053104,3,"Wellington/ Lower-Central North",NA
"664","17","Common Assault",822405,3,"Auckland",NA
"665","17","Serious Assault Resulting in Injury",1304800,3,"Bay Of Plenty",NA
"666","17","Common Assault",265800,3,"Auckland",NA
"667","17","Serious Assault Resulting in Injury",867100,3,"Waikato",NA
"668","17","Common Assault",1454900,3,"Hawkes Bay/ Gisborne",NA
"669","17","Aggravated Sexual Assault",1991701,3,"Wellington/ Lower-Central North",NA
"670","17","Non-Aggravated Sexual Assault",1202901,3,"Bay Of Plenty",NA
"671","17","Aggravated Sexual Assault",1642600,3,"West Coast/ Upper-Central North",NA
"672","17","Common Assault",1735400,2,"West Coast/ Upper-Central North",NA
"673","17","Common Assault",2427102,2,"Canterbury",NA
"674","17","Serious Assault Not Resulting in Injury",2405900,2,"Tasman/ South-West Coast",NA
"675","17","Serious Assault Resulting in Injury",161100,2,"Auckland",NA
"676","17","Common Assault",2652300,2,"Canterbury",NA
"677","17","Common Assault",1371400,2,"Hawkes Bay/ Gisborne",NA
"678","17","Common Assault",730301,2,"Auckland",NA
"679","17","Serious Assault Not Resulting in Injury",2131100,2,"Wellington/ Lower-Central North",NA
"680","17","Serious Assault Resulting in Injury",305201,2,"Auckland",NA
"681","17","Common Assault",1439400,2,"Hawkes Bay/ Gisborne",NA
"682","17","Common Assault",2847200,2,"Canterbury",NA
"683","17","Serious Assault Not Resulting in Injury",1170100,2,"Bay Of Plenty",NA
"684","17","Serious Assault Resulting in Injury",1418900,2,"Hawkes Bay/ Gisborne",NA
"685","17","Common Assault",2609600,2,"Canterbury",NA
"686","17","Common Assault",906600,2,"Waikato",NA
"687","17","Serious Assault Not Resulting in Injury",266300,2,"Auckland",NA
"688","17","Common Assault",657300,2,"Auckland",NA
"689","17","Common Assault",1829100,2,"West Coast/ Upper-Central North",NA
"690","17","Serious Assault Resulting in Injury",1430800,2,"Hawkes Bay/ Gisborne",NA
"691","17","Serious Assault Not Resulting in Injury",2028600,2,"Wellington/ Lower-Central North",NA
"692","17","Common Assault",1236500,2,"Bay Of Plenty",NA
"693","17","Common Assault",2972700,2,"Southland/ Otago",NA
"694","17","Aggravated Sexual Assault",1758100,2,"West Coast/ Upper-Central North",NA
"695","17","Non-Aggravated Sexual Assault",175907,2,"Auckland",NA
"696","17","Aggravated Sexual Assault",2299200,2,"Tasman/ South-West Coast",NA
"716","17","Common Assault",1471100,2,"Hawkes Bay/ Gisborne",NA
"717","17","Serious Assault Not Resulting in Injury",1632701,2,"West Coast/ Upper-Central North",NA
"718","17","Serious Assault Resulting in Injury",1450300,2,"Hawkes Bay/ Gisborne",NA
"719","17","Common Assault",951706,2,"Waikato",NA
"720","17","Serious Assault Resulting in Injury",1279502,2,"Waikato",NA
"721","17","Common Assault",2457502,2,"Canterbury",NA
"722","17","Common Assault",281300,2,"Auckland",NA
"723","17","Serious Assault Not Resulting in Injury",1293600,2,"Waikato",NA
"831","17","Common Assault",751600,4,"Auckland",NA
"832","17","Common Assault",2897500,4,"Southland/ Otago",NA
"833","17","Serious Assault Not Resulting in Injury",932400,4,"Waikato",NA
"834","17","Serious Assault Not Resulting in Injury",2185500,4,"Wellington/ Lower-Central North",NA
"835","17","Common Assault",668500,4,"Auckland",NA
"836","17","Serious Assault Not Resulting in Injury",2620400,4,"Canterbury",NA
"837","17","Common Assault",3149900,4,"Southland/ Otago",NA
"838","17","Common Assault",2972700,4,"Southland/ Otago",NA
"839","17","Common Assault",1509700,4,"Hawkes Bay/ Gisborne",NA
"840","17","Serious Assault Not Resulting in Injury",1429700,4,"Hawkes Bay/ Gisborne",NA
"841","17","Serious Assault Not Resulting in Injury",2764800,4,"Canterbury",NA
"842","17","Common Assault",1036500,4,"West Coast/ Upper-Central North",NA
"843","17","Common Assault",1831000,4,"West Coast/ Upper-Central North",NA
"844","17","Serious Assault Not Resulting in Injury",2895400,4,"Southland/ Otago",NA
"845","17","Common Assault",2610200,4,"Canterbury",NA
"846","17","Serious Assault Not Resulting in Injury",412000,4,"Auckland",NA
"847","17","Serious Assault Not Resulting in Injury",776000,4,"Auckland",NA
"848","17","Serious Assault Resulting in Injury",116800,4,"Northland",NA
"849","17","Common Assault",601000,4,"Auckland",NA
"850","17","Serious Assault Not Resulting in Injury",799500,4,"Auckland",NA
"851","17","Serious Assault Not Resulting in Injury",1286200,4,"Waikato",NA
"852","17","Common Assault",146901,4,"Auckland",NA
"853","17","Common Assault",2331500,4,"Tasman/ South-West Coast",NA
"854","17","Serious Assault Not Resulting in Injury",-36,4,"Auckland",NA
"855","17","Serious Assault Not Resulting in Injury",3057700,4,"Southland/ Otago",NA
"856","17","Serious Assault Not Resulting in Injury",955202,4,"Waikato",NA
"857","17","Common Assault",396700,4,"Auckland",NA
"858","17","Serious Assault Not Resulting in Injury",1719200,4,"West Coast/ Upper-Central North",NA
"859","17","Aggravated Sexual Assault",1677700,4,"West Coast/ Upper-Central North",NA
"860","17","Aggravated Sexual Assault",1863600,4,"Wellington/ Lower-Central North",NA
"861","17","Aggravated Sexual Assault",-36,4,"Auckland",NA
"862","17","Aggravated Sexual Assault",1206503,4,"Bay Of Plenty",NA
"863","17","Aggravated Sexual Assault",105800,4,"Northland",NA
"1034","17","Common Assault",2462100,3,"Canterbury",NA
"1035","17","Serious Assault Not Resulting in Injury",2320200,3,"Tasman/ South-West Coast",NA
"1036","17","Serious Assault Not Resulting in Injury",1384700,3,"Hawkes Bay/ Gisborne",NA
"1037","17","Common Assault",405600,3,"Auckland",NA
"1038","17","Serious Assault Not Resulting in Injury",2495109,3,"Canterbury",NA
"1039","17","Serious Assault Not Resulting in Injury",1546700,3,"West Coast/ Upper-Central North",NA
"1040","17","Common Assault",412100,3,"Auckland",NA
"1041","17","Common Assault",266000,3,"Auckland",NA
"1042","17","Common Assault",1161106,3,"Bay Of Plenty",NA
"1043","17","Serious Assault Not Resulting in Injury",1990600,3,"Wellington/ Lower-Central North",NA
"1044","17","Serious Assault Not Resulting in Injury",1378400,3,"Hawkes Bay/ Gisborne",NA
"1045","17","Common Assault",2062700,3,"Wellington/ Lower-Central North",NA
"1046","17","Common Assault",2536200,3,"Canterbury",NA
"1047","17","Serious Assault Not Resulting in Injury",15600,3,"Northland",NA
"1048","17","Serious Assault Not Resulting in Injury",1171500,3,"Bay Of Plenty",NA
"1049","17","Serious Assault Not Resulting in Injury",1180404,3,"Bay Of Plenty",NA
"1050","17","Common Assault",265002,3,"Auckland",NA
"1051","17","Serious Assault Not Resulting in Injury",2796500,3,"Canterbury",NA
"1052","17","Common Assault",436100,3,"Auckland",NA
"1053","17","Serious Assault Not Resulting in Injury",637500,3,"Auckland",NA
"1054","17","Common Assault",3115300,3,"Southland/ Otago",NA
"1055","17","Serious Assault Not Resulting in Injury",-403,3,"Southland/ Otago",NA
"1056","17","Common Assault",266000,3,"Auckland",NA
"1057","17","Serious Assault Not Resulting in Injury",1954200,3,"Wellington/ Lower-Central North",NA
"1058","17","Aggravated Sexual Assault",-228,3,"Wellington/ Lower-Central North",NA
"1059","17","Aggravated Sexual Assault",551100,3,"Auckland",NA
"1060","17","Aggravated Sexual Assault",386504,3,"Auckland",NA
"1061","17","Aggravated Sexual Assault",2836302,3,"Canterbury",NA
"1206","18","Common Assault",1829500,3,"West Coast/ Upper-Central North",NA
"1207","18","Common Assault",2034000,3,"Wellington/ Lower-Central North",NA
"1208","18","Serious Assault Not Resulting in Injury",1793800,3,"West Coast/ Upper-Central North",NA
"1209","18","Serious Assault Resulting in Injury",198600,3,"Auckland",NA
"1210","18","Common Assault",-65,3,"Auckland",NA
"1211","18","Common Assault",2319800,3,"Tasman/ South-West Coast",NA
"1212","18","Common Assault",436100,3,"Auckland",NA
"1213","18","Common Assault",2707900,3,"Canterbury",NA
"1214","18","Serious Assault Resulting in Injury",863000,3,"Waikato",NA
"1215","18","Common Assault",963000,3,"Waikato",NA
"1216","18","Common Assault",433501,3,"Auckland",NA
"1217","18","Common Assault",1601100,3,"West Coast/ Upper-Central North",NA
"1218","18","Common Assault",-125,3,"Hawkes Bay/ Gisborne",NA
"1219","18","Serious Assault Resulting in Injury",1279300,3,"Waikato",NA
"1220","18","Common Assault",1834400,3,"West Coast/ Upper-Central North",NA
"1221","18","Serious Assault Resulting in Injury",780205,3,"Auckland",NA
"1222","18","Common Assault",2003709,3,"Wellington/ Lower-Central North",NA
"1223","18","Common Assault",178900,3,"Auckland",NA
"1224","18","Common Assault",1059226,3,"Waikato",NA
"1225","18","Serious Assault Not Resulting in Injury",2052500,3,"Wellington/ Lower-Central North",NA
